Date,daily_trips,daily_miles,annual_members_cumulative,1-day_pass_sales,3_day_passes_purchased,7-day_pass_sales
5/27/2013,9767,21533,17216,0,null,0
5/28/2013,5215,8780,19816,0,null,0
5/29/2013,10981,21898,21986,0,null,0
5/30/2013,9850,20321,23985,0,null,0
5/31/2013,9253,20243,25615,0,null,0
6/1/2013,9852,26347,26756,0,null,0
6/2/2013,17590,52144,28253,4723,null,289
6/3/2013,8599,18907,29616,1160,null,221
6/4/2013,17589,48666,31095,2922,null,394
6/5/2013,17433,44918,32620,2821,null,279
6/6/2013,13732,30986,33954,1872,null,210
6/7/2013,1393,2066,34449,66,null,11
6/8/2013,19899,54664,35233,5013,null,230
6/9/2013,23236,71604,36295,5772,null,275
6/10/2013,4504,10138,37086,290,null,82
6/11/2013,14638,34630,37894,1836,null,273
6/12/2013,18960,45714,38805,2767,null,316
6/13/2013,8782,15075,39442,701,null,119
6/14/2013,16423,33980,40078,2268,null,211
6/15/2013,27276,72792,40702,6107,null,319
6/16/2013,23610,59573,41541,4413,null,314
6/17/2013,21278,43897,42564,2378,null,530
6/18/2013,14826,27670,43394,1236,null,277
6/19/2013,26267,54405,44223,2678,null,607
6/20/2013,28994,59935,45024,2814,null,421
6/21/2013,30660,64873,45815,3465,null,408
6/22/2013,31885,80432,46448,5902,null,383
6/23/2013,30653,76450,47203,4959,null,279
6/24/2013,26636,50664,48135,1844,null,386
6/25/2013,30426,56075,48915,1937,null,343
6/26/2013,32322,59663,49665,2000,null,301
6/27/2013,28094,55261,50355,1680,null,223
6/28/2013,30595,58036,51029,2268,null,291
6/29/2013,32947,77227,51505,4895,null,296
6/30/2013,27285,61052,52125,3592,null,178
7/1/2013,20151,36168,52722,846,null,167
7/2/2013,26682,48733,53310,1435,null,219
7/3/2013,25509,46017,53748,1419,null,189
7/4/2013,26004,63673,54073,4219,null,257
7/5/2013,25541,53419,54507,2803,null,215
7/6/2013,23697,53762,54843,3178,null,172
7/7/2013,23688,50634,55284,2703,null,186
7/8/2013,26063,49831,55971,1453,null,321
7/9/2013,30929,55499,56610,1379,null,287
7/10/2013,30705,55949,57194,1435,null,223
7/11/2013,29689,56393,57725,1478,null,196
7/12/2013,22817,39970,58133,1096,null,118
7/13/2013,30132,64834,58495,3285,null,213
7/14/2013,33545,75019,58954,3681,null,224
7/15/2013,32565,57755,59593,1382,null,273
7/16/2013,34757,61857,60129,1288,null,251
7/17/2013,35172,60697,60619,1303,null,201
7/18/2013,33222,56228,61008,1094,null,143
7/19/2013,30667,52784,61366,1389,null,164
7/20/2013,29145,58799,61652,2811,null,169
7/21/2013,34694,76310,62074,3502,null,191
7/22/2013,29787,50145,62577,1005,null,184
7/23/2013,37296,65911,63026,1390,null,220
7/24/2013,40699,74469,63466,1708,null,211
7/25/2013,36207,62188,63822,1163,null,144
7/26/2013,39499,72710,64182,2073,null,176
7/27/2013,37131,82270,64495,4259,null,197
7/28/2013,26780,53561,64884,2391,null,137
7/29/2013,40018,73426,65381,1712,null,275
7/30/2013,42982,77917,65855,1701,null,237
7/31/2013,42745,76981,66310,1692,null,186
8/1/2013,23025,34795,66644,415,null,73
8/2/2013,40654,75390,67027,2302,null,230
8/3/2013,34173,73300,67293,3417,null,180
8/4/2013,40103,93191,67685,4547,null,261
8/5/2013,41759,78764,68242,1924,null,276
8/6/2013,42974,79262,68744,1778,null,222
8/7/2013,39120,66709,69137,1261,null,183
